district,crop_type,plot_acres,soil_nitrogen_kg_ha,soil_ph,organic_carbon_pct,phosphorus_kg_ha,potassium_kg_ha,growth_stage,days_since_sowing,ndvi,optimal_solid_urea_pct,optimal_nano_urea_pct,solid_urea_bags,nano_urea_bottles,water_liters,expected_yield_quintal_acre
Moga,wheat,1,258.2,8.27,0.286,33.9,213.6,germination,3,0.163,69.0,31.0,1.62,0.73,125,18.71
Sangrur,wheat,1,202.5,7.92,0.305,23.3,187.5,germination,3,0.292,56.4,43.6,1.32,1.02,125,19.46
Sangrur,wheat,4,266.5,7.97,0.313,23.9,272.5,heading,96,0.755,41.3,58.7,3.87,5.51,500,19.45
Sangrur,wheat,5,211.5,7.38,0.536,17.8,248.4,heading,96,0.714,42.1,57.9,4.94,6.79,625,20.4
Patiala,wheat,2,295.8,7.74,0.623,26.0,199.6,heading,88,0.613,30.7,69.3,1.44,3.25,250,18.84
Moga,paddy,5,236.5,8.29,0.344,28.6,250.2,panicle_initiation,60,0.662,53.0,47.0,5.7,5.06,625,27.11
Moga,wheat,4,242.1,8.06,0.449,15.1,282.2,heading,95,0.633,47.7,52.3,4.48,4.91,500,18.58
Gurdaspur,paddy,4,274.1,6.97,0.369,10.3,246.2,panicle_initiation,46,0.742,43.0,57.0,3.7,4.9,500,26.5
Bathinda,paddy,2,206.9,8.71,0.39,29.1,156.1,panicle_initiation,51,0.639,49.7,50.3,2.14,2.16,250,28.27
Sangrur,wheat,10,254.1,7.55,0.43,43.4,224.5,heading,91,0.692,40.5,59.5,9.5,13.96,1250,18.84
Amritsar,paddy,5,176.6,8.15,0.522,43.0,312.0,grain_filling,106,0.616,44.7,55.3,4.81,5.94,625,27.81
Jalandhar,wheat,5,249.7,7.9,0.332,29.8,274.3,heading,89,0.767,44.7,55.3,5.24,6.49,625,17.61
Bathinda,wheat,1,165.0,8.6,0.382,13.3,205.7,germination,2,0.284,74.5,25.5,1.75,0.6,125,16.85
Moga,wheat,3,209.9,8.03,0.555,43.3,235.4,germination,17,0.299,47.5,52.5,3.34,3.7,375,20.79
Ludhiana,wheat,2,206.8,8.1,0.336,27.7,164.2,germination,4,0.155,64.8,35.2,3.04,1.65,250,19.05
Jalandhar,paddy,12,221.1,7.8,0.445,36.6,176.5,flowering,72,0.779,36.4,63.6,9.4,16.4,1500,28.54
Jalandhar,paddy,1,284.4,7.75,0.345,18.9,179.1,flowering,79,0.614,37.0,63.0,0.8,1.35,125,28.87
Patiala,wheat,3,285.7,6.86,0.604,37.1,190.5,heading,83,0.703,30.0,70.0,2.11,4.93,375,20.58
Bathinda,paddy,10,120.0,8.04,0.331,11.9,314.6,grain_filling,119,0.524,58.3,41.7,12.54,8.96,1250,26.27
Jalandhar,paddy,3,278.8,7.61,0.377,21.4,262.5,panicle_initiation,64,0.586,50.4,49.6,3.25,3.2,375,25.62
Ludhiana,wheat,3,238.0,7.9,0.307,19.4,223.5,germination,10,0.244,65.4,34.6,4.6,2.43,375,18.36
Gurdaspur,wheat,1,253.4,7.76,0.554,16.0,314.5,tillering,28,0.386,46.2,53.8,1.08,1.26,125,19.68
Kapurthala,paddy,2,280.6,7.33,0.54,16.8,189.1,flowering,85,0.631,36.2,63.8,1.56,2.74,250,30.21
Moga,wheat,2,198.7,7.73,0.427,23.6,301.3,germination,18,0.267,60.5,39.5,2.84,1.86,250,19.5
Amritsar,wheat,5,182.9,8.05,0.495,29.1,313.4,jointing,71,0.611,52.3,47.7,6.13,5.6,625,19.52
Patiala,paddy,4,201.7,7.86,0.633,33.7,245.0,tillering,39,0.538,44.4,55.6,3.82,4.78,500,27.62
Moga,paddy,3,271.6,8.2,0.274,33.6,130.4,seedling,11,0.187,67.7,32.3,4.37,2.08,375,25.65
Ludhiana,wheat,1,302.9,7.73,0.386,22.5,136.8,germination,18,0.252,48.5,51.5,1.14,1.21,125,18.0
Ludhiana,paddy,3,274.0,7.76,0.37,24.6,270.2,flowering,89,0.655,36.0,64.0,2.32,4.13,375,27.86
Sangrur,wheat,4,302.1,7.61,0.361,30.4,160.9,germination,11,0.161,60.1,39.9,5.64,3.74,500,19.1
Amritsar,wheat,4,241.9,8.36,0.431,12.7,135.1,heading,89,0.618,48.5,51.5,4.55,4.83,500,20.3
Bathinda,wheat,1,255.1,7.83,0.369,34.7,242.0,germination,3,0.187,67.5,32.5,1.58,0.76,125,17.59
Sangrur,paddy,10,165.9,7.85,0.5,23.1,130.1,seedling,0,0.2,64.1,35.9,13.79,7.72,1250,28.05
Kapurthala,wheat,1,277.6,7.23,0.498,44.2,140.4,tillering,47,0.437,52.9,47.1,1.24,1.1,125,18.65
Jalandhar,wheat,1,261.3,7.11,0.469,31.5,247.5,tillering,38,0.493,52.9,47.1,1.24,1.11,125,18.31
Jalandhar,wheat,4,194.8,7.36,0.367,18.7,132.5,grain_filling,118,0.597,43.3,56.7,4.06,5.32,500,18.69
Moga,paddy,5,267.7,8.11,0.559,29.0,160.1,tillering,21,0.521,44.7,55.3,4.81,5.95,625,28.03
Kapurthala,wheat,5,188.9,7.96,0.393,40.3,303.1,grain_filling,109,0.457,50.0,50.0,5.86,5.87,625,18.31
Sangrur,wheat,3,227.0,7.71,0.6,12.2,284.9,jointing,76,0.505,42.9,57.1,3.02,4.02,375,19.5
Sangrur,wheat,5,194.4,7.31,0.528,10.4,201.8,grain_filling,116,0.553,47.4,52.6,5.56,6.17,625,19.94
Patiala,wheat,7,210.5,7.17,0.437,28.0,227.1,grain_filling,129,0.521,42.0,58.0,6.9,9.53,875,19.3
Moga,paddy,4,200.7,7.59,0.427,42.9,295.3,grain_filling,119,0.517,37.8,62.2,3.25,5.35,500,27.01
Sangrur,paddy,3,288.8,7.38,0.448,24.5,122.7,seedling,12,0.21,50.7,49.3,3.27,3.18,375,28.68
Moga,wheat,5,258.7,8.15,0.435,37.6,179.4,germination,16,0.212,66.4,33.6,7.78,3.95,625,19.9
Amritsar,wheat,3,235.1,7.49,0.267,23.7,166.8,heading,88,0.797,43.6,56.4,3.07,3.97,375,19.59
Patiala,paddy,2,268.3,7.01,0.525,24.4,294.1,tillering,44,0.472,47.2,52.8,2.03,2.27,250,28.2
Moga,wheat,1,251.9,7.43,0.391,41.3,160.9,germination,6,0.213,68.9,31.1,1.62,0.73,125,17.42
Bathinda,wheat,2,220.0,8.65,0.383,34.4,270.5,grain_filling,125,0.625,45.8,54.2,2.15,2.54,250,18.76
Moga,wheat,2,180.7,8.14,0.544,26.3,135.1,germination,7,0.152,62.0,38.0,2.91,1.78,250,19.43
Firozpur,paddy,2,139.3,8.18,0.241,23.1,280.8,flowering,75,0.664,53.2,46.8,2.29,2.01,250,26.62
Moga,wheat,3,220.0,8.0,0.474,34.8,121.7,jointing,52,0.646,48.8,51.2,3.44,3.6,375,20.51
Gurdaspur,paddy,2,234.6,7.5,0.492,22.3,255.5,flowering,82,0.603,37.6,62.4,1.62,2.68,250,29.01
Gurdaspur,wheat,4,229.7,7.07,0.405,31.2,206.6,tillering,24,0.521,49.6,50.4,4.66,4.73,500,19.35
Sangrur,wheat,4,247.4,7.2,0.492,40.2,293.7,tillering,32,0.499,48.9,51.1,4.59,4.8,500,18.69
Patiala,paddy,7,262.3,7.76,0.445,34.2,172.8,panicle_initiation,46,0.656,40.7,59.3,6.13,8.93,875,27.56
Jalandhar,paddy,2,168.8,8.03,0.543,26.2,316.7,flowering,70,0.75,41.4,58.6,1.78,2.52,250,27.61
Sangrur,wheat,3,288.1,7.27,0.478,11.4,253.4,germination,13,0.283,51.0,49.0,3.59,3.45,375,19.25
Ludhiana,paddy,3,189.4,7.11,0.65,21.4,269.6,grain_filling,100,0.451,34.7,65.3,2.24,4.21,375,28.47
Ludhiana,paddy,1,304.8,8.02,0.442,10.5,136.0,grain_filling,93,0.453,38.7,61.3,0.83,1.32,125,27.89
Jalandhar,wheat,15,277.2,7.84,0.46,31.9,292.9,tillering,39,0.466,50.9,49.1,17.93,17.26,1875,19.75
Kapurthala,wheat,3,241.0,7.68,0.559,23.3,194.3,heading,85,0.727,33.1,66.9,2.33,4.71,375,17.67
Sangrur,paddy,2,265.1,7.65,0.317,25.9,255.0,tillering,39,0.567,56.9,43.1,2.45,1.85,250,27.0
Gurdaspur,paddy,5,213.5,7.07,0.53,31.0,155.9,flowering,87,0.691,39.0,61.0,4.19,6.56,625,29.07
Jalandhar,paddy,4,163.5,7.31,0.425,25.9,257.1,panicle_initiation,58,0.581,50.2,49.8,4.31,4.29,500,26.84
Kapurthala,paddy,2,173.3,7.71,0.508,12.3,166.2,seedling,15,0.23,64.5,35.5,2.77,1.53,250,29.31
Firozpur,wheat,12,233.2,7.74,0.445,44.9,126.0,tillering,37,0.475,55.6,44.4,15.65,12.51,1500,18.4
Jalandhar,wheat,2,221.0,7.58,0.494,41.2,181.2,jointing,52,0.516,49.5,50.5,2.32,2.37,250,17.26
Sangrur,paddy,2,175.5,7.48,0.47,44.5,153.2,flowering,89,0.631,39.2,60.8,1.69,2.61,250,28.27
Firozpur,wheat,7,165.9,7.83,0.409,12.2,162.1,heading,98,0.669,39.2,60.8,6.45,9.98,875,19.18
Bathinda,wheat,3,229.3,7.89,0.278,10.1,154.8,germination,0,0.219,60.4,39.6,4.25,2.78,375,16.64
Gurdaspur,paddy,12,268.4,7.75,0.605,21.0,227.6,grain_filling,107,0.58,35.0,65.0,9.05,16.76,1500,27.72
Gurdaspur,wheat,12,242.6,7.82,0.439,40.1,201.4,heading,88,0.639,42.8,57.2,12.05,16.11,1500,18.3
Gurdaspur,wheat,7,296.7,7.34,0.64,42.6,268.3,jointing,56,0.529,39.7,60.3,6.52,9.9,875,19.82
Patiala,wheat,5,285.6,7.14,0.674,43.9,234.3,germination,5,0.206,47.8,52.2,5.61,6.12,625,19.82
Ludhiana,paddy,4,260.3,7.41,0.646,10.9,170.5,grain_filling,116,0.539,39.0,61.0,3.36,5.25,500,29.09
Kapurthala,paddy,10,247.8,7.9,0.337,26.0,190.2,seedling,7,0.213,60.0,40.0,12.91,8.6,1250,26.41
Moga,wheat,7,263.2,7.97,0.461,36.6,222.6,grain_filling,118,0.53,42.2,57.8,6.93,9.49,875,17.61
Firozpur,wheat,15,223.8,7.96,0.437,14.3,245.3,germination,19,0.289,57.9,42.1,20.39,14.8,1875,19.11
Gurdaspur,wheat,2,240.2,7.75,0.622,16.6,304.5,heading,81,0.722,34.3,65.7,1.61,3.08,250,19.68
Ludhiana,wheat,4,257.9,8.03,0.592,42.5,193.2,grain_filling,113,0.615,36.8,63.2,3.46,5.93,500,20.9
Firozpur,wheat,7,264.6,8.2,0.481,19.3,242.3,jointing,74,0.57,47.3,52.7,7.77,8.65,875,19.26
Jalandhar,paddy,1,161.4,7.96,0.506,31.8,318.0,tillering,43,0.428,48.1,51.9,1.03,1.12,125,27.69
Amritsar,paddy,5,225.7,8.38,0.532,25.8,159.7,panicle_initiation,54,0.598,45.4,54.6,4.88,5.88,625,26.99
Gurdaspur,paddy,7,201.5,6.91,0.34,41.7,249.5,tillering,34,0.558,48.2,51.8,7.25,7.81,875,28.4
Amritsar,paddy,3,199.9,8.11,0.339,20.5,141.4,seedling,1,0.174,70.7,29.3,4.56,1.89,375,26.51
Sangrur,wheat,3,233.0,7.13,0.518,43.2,147.4,germination,20,0.238,59.8,40.2,4.21,2.83,375,19.4
Moga,paddy,1,285.4,8.1,0.446,33.0,299.7,tillering,25,0.425,47.4,52.6,1.02,1.13,125,27.91
Bathinda,wheat,5,130.6,7.97,0.223,30.5,165.3,jointing,66,0.672,66.0,34.0,7.74,3.99,625,19.51
Moga,wheat,3,234.5,7.53,0.561,38.7,316.7,germination,6,0.295,49.7,50.3,3.5,3.54,375,19.38
Jalandhar,wheat,5,233.3,7.36,0.597,30.1,147.6,tillering,42,0.53,45.5,54.5,5.34,6.39,625,19.84
Ludhiana,wheat,3,209.3,7.1,0.463,26.9,288.2,grain_filling,115,0.615,36.4,63.6,2.56,4.48,375,18.99
Patiala,wheat,5,265.1,6.89,0.497,31.1,307.4,tillering,40,0.4,47.4,52.6,5.56,6.17,625,19.37
Gurdaspur,paddy,3,184.6,7.36,0.358,31.4,307.7,flowering,68,0.615,36.4,63.6,2.35,4.1,375,28.72
Firozpur,wheat,2,191.3,8.48,0.489,25.5,270.0,tillering,34,0.406,58.4,41.6,2.74,1.95,250,17.1
Jalandhar,wheat,7,183.5,8.16,0.458,18.1,220.5,jointing,59,0.569,52.8,47.2,8.68,7.74,875,17.99
Moga,paddy,7,243.2,7.64,0.503,28.6,255.5,grain_filling,97,0.574,40.7,59.3,6.13,8.93,875,27.8
Sangrur,paddy,4,198.2,7.12,0.546,27.5,206.8,tillering,24,0.421,52.3,47.7,4.5,4.1,500,27.93
Patiala,paddy,5,269.8,7.64,0.464,18.2,162.2,panicle_initiation,46,0.63,46.2,53.8,4.97,5.78,625,27.53
Moga,wheat,10,215.3,7.53,0.331,12.3,297.4,grain_filling,115,0.549,45.6,54.4,10.71,12.75,1250,18.77
Firozpur,wheat,3,236.0,8.48,0.244,23.8,140.0,germination,13,0.174,69.9,30.1,4.92,2.12,375,18.21
Bathinda,paddy,1,256.5,7.68,0.258,40.4,305.3,tillering,33,0.362,47.3,52.7,1.02,1.13,125,28.05
Bathinda,paddy,1,252.5,8.52,0.278,18.7,259.5,flowering,78,0.713,45.2,54.8,0.97,1.18,125,27.23
Firozpur,paddy,2,182.5,8.06,0.234,24.9,286.5,seedling,14,0.179,69.7,30.3,3.0,1.3,250,26.05
Bathinda,wheat,4,149.6,8.48,0.213,27.2,208.4,jointing,65,0.587,65.8,34.2,6.17,3.21,500,17.51
Bathinda,paddy,4,141.5,7.69,0.267,22.6,201.7,tillering,20,0.54,64.2,35.8,5.53,3.08,500,26.54
Sangrur,wheat,2,289.1,7.99,0.395,18.0,202.3,heading,95,0.758,30.1,69.9,1.41,3.28,250,19.16
Bathinda,wheat,15,223.3,7.97,0.368,19.5,136.2,tillering,29,0.381,54.7,45.3,19.24,15.95,1875,19.96
Patiala,paddy,2,277.5,7.32,0.506,31.7,253.1,grain_filling,101,0.497,42.7,57.3,1.83,2.47,250,27.32
Amritsar,wheat,2,215.9,7.79,0.309,32.8,276.2,tillering,30,0.523,57.7,42.3,2.71,1.98,250,18.86
Patiala,paddy,3,253.2,7.52,0.589,30.1,205.8,flowering,90,0.604,34.5,65.5,2.23,4.22,375,29.05
Firozpur,paddy,2,160.6,7.47,0.257,31.2,289.9,panicle_initiation,54,0.749,44.2,55.8,1.9,2.4,250,29.15
Gurdaspur,wheat,2,176.9,6.99,0.405,11.0,246.3,germination,18,0.232,67.0,33.0,3.14,1.55,250,17.39
Amritsar,wheat,7,274.7,7.89,0.419,27.5,133.9,grain_filling,118,0.475,46.6,53.4,7.66,8.76,875,19.06
Jalandhar,paddy,10,203.1,8.11,0.477,30.3,170.7,grain_filling,117,0.464,41.6,58.4,8.94,12.56,1250,26.7
Moga,wheat,10,257.0,7.56,0.476,29.5,188.5,heading,97,0.766,36.7,63.3,8.61,14.85,1250,19.53
Jalandhar,paddy,1,200.4,7.46,0.565,10.5,184.5,flowering,84,0.63,39.0,61.0,0.84,1.31,125,28.98
Sangrur,paddy,3,303.4,7.25,0.425,26.8,147.6,panicle_initiation,52,0.747,40.2,59.8,2.59,3.86,375,28.37
Patiala,paddy,5,234.9,7.18,0.517,21.1,217.8,flowering,71,0.718,41.0,59.0,4.41,6.34,625,28.19
Bathinda,paddy,5,217.1,8.41,0.388,40.6,220.0,panicle_initiation,58,0.706,42.7,57.3,4.6,6.16,625,28.64
Bathinda,paddy,1,152.6,7.79,0.338,28.3,176.5,panicle_initiation,58,0.658,55.5,44.5,1.19,0.96,125,29.62
Kapurthala,wheat,12,290.6,7.63,0.374,24.0,239.7,germination,9,0.173,51.7,48.3,14.55,13.6,1500,19.11
Firozpur,wheat,5,257.1,8.6,0.416,37.0,187.5,jointing,71,0.617,51.5,48.5,6.04,5.69,625,20.0
Jalandhar,paddy,4,215.4,8.01,0.425,24.4,306.9,grain_filling,113,0.504,47.2,52.8,4.06,4.54,500,26.58
Patiala,wheat,10,193.2,6.87,0.525,13.7,142.8,heading,93,0.623,39.6,60.4,9.29,14.17,1250,19.22
Bathinda,wheat,3,210.8,7.58,0.403,42.9,249.8,tillering,37,0.38,56.4,43.6,3.97,3.07,375,19.95
Sangrur,paddy,4,206.6,7.18,0.516,11.3,244.0,tillering,19,0.477,50.6,49.4,4.36,4.25,500,28.82
Firozpur,paddy,7,205.6,7.5,0.378,41.8,199.3,flowering,81,0.712,41.1,58.9,6.19,8.86,875,26.57
Moga,paddy,5,260.7,7.85,0.527,12.8,215.4,flowering,77,0.766,37.6,62.4,4.04,6.71,625,28.72
Ludhiana,wheat,15,318.3,7.39,0.438,31.1,280.3,jointing,55,0.593,43.2,56.8,15.2,19.99,1875,18.61
Moga,paddy,1,167.1,8.1,0.357,14.6,208.0,flowering,72,0.676,47.5,52.5,1.02,1.13,125,27.97
Sangrur,wheat,4,227.0,7.05,0.563,38.9,237.6,germination,1,0.27,52.3,47.7,4.91,4.47,500,20.38
Gurdaspur,wheat,1,177.0,7.17,0.606,15.8,203.0,jointing,73,0.605,47.3,52.7,1.11,1.24,125,20.64
Bathinda,paddy,2,193.3,7.79,0.367,12.8,208.4,panicle_initiation,64,0.698,44.0,56.0,1.89,2.41,250,28.94
Sangrur,wheat,4,232.7,7.42,0.569,15.1,221.1,grain_filling,103,0.464,42.0,58.0,3.95,5.44,500,19.64
Bathinda,wheat,7,133.7,7.56,0.246,28.9,249.1,germination,9,0.292,68.6,31.4,11.27,5.15,875,18.14
Gurdaspur,wheat,10,192.3,7.47,0.401,22.5,317.9,grain_filling,111,0.459,46.2,53.8,10.84,12.62,1250,18.1
Gurdaspur,wheat,1,221.4,7.74,0.457,32.9,235.9,heading,94,0.798,39.2,60.8,0.92,1.43,125,19.69
Firozpur,wheat,3,185.0,7.68,0.247,16.3,279.5,tillering,30,0.459,59.3,40.7,4.17,2.86,375,17.45
Patiala,paddy,2,203.7,7.85,0.641,17.9,199.9,panicle_initiation,56,0.746,36.2,63.8,1.56,2.74,250,29.66
Moga,wheat,5,257.4,7.61,0.432,12.4,156.2,grain_filling,126,0.628,47.9,52.1,5.62,6.11,625,18.94
Moga,paddy,15,163.3,7.9,0.508,44.8,122.2,grain_filling,116,0.604,41.3,58.7,13.31,18.95,1875,27.86
Moga,wheat,4,213.6,7.59,0.454,30.1,152.3,germination,6,0.233,63.0,37.0,5.92,3.47,500,17.85
Firozpur,wheat,4,196.2,7.45,0.416,21.6,268.9,germination,20,0.26,55.7,44.3,5.22,4.16,500,18.47
Bathinda,paddy,3,128.5,8.4,0.246,21.2,203.1,panicle_initiation,51,0.568,61.0,39.0,3.93,2.52,375,27.09
Patiala,paddy,4,247.1,7.29,0.532,41.4,159.3,grain_filling,107,0.596,40.7,59.3,3.5,5.1,500,28.72
Patiala,paddy,3,255.6,7.15,0.44,21.5,152.9,flowering,73,0.649,46.4,53.6,2.99,3.46,375,28.87
Kapurthala,wheat,3,276.4,7.21,0.514,37.0,263.0,tillering,48,0.353,47.2,52.8,3.32,3.71,375,20.68
Firozpur,paddy,10,241.8,8.52,0.226,15.4,297.2,grain_filling,110,0.587,49.5,50.5,10.65,10.86,1250,27.54
Gurdaspur,paddy,4,181.9,7.15,0.616,19.0,164.1,grain_filling,100,0.596,34.6,65.4,2.98,5.63,500,28.55
Firozpur,wheat,3,201.7,8.22,0.481,31.7,280.8,grain_filling,123,0.527,44.7,55.3,3.14,3.89,375,17.78
Moga,wheat,4,249.0,8.0,0.448,17.2,220.9,tillering,23,0.435,51.5,48.5,4.83,4.55,500,19.11
Patiala,wheat,5,299.0,7.77,0.639,37.8,184.7,jointing,73,0.531,38.4,61.6,4.51,7.22,625,20.05
Ludhiana,wheat,7,248.1,7.13,0.387,21.1,281.8,tillering,37,0.41,53.2,46.8,8.74,7.68,875,18.94
Gurdaspur,paddy,1,188.7,7.84,0.428,11.9,253.9,panicle_initiation,64,0.611,46.5,53.5,1.0,1.15,125,27.71
Sangrur,paddy,5,270.3,7.89,0.603,21.0,291.7,seedling,12,0.242,50.6,49.4,5.44,5.32,625,28.66
Patiala,wheat,4,177.5,7.66,0.516,39.7,196.7,germination,10,0.251,63.4,36.6,5.95,3.44,500,18.02
Ludhiana,wheat,7,296.0,8.0,0.548,13.7,287.8,grain_filling,129,0.523,36.3,63.7,5.96,10.46,875,20.27
Amritsar,wheat,2,195.7,7.29,0.355,40.2,166.6,jointing,80,0.707,46.4,53.6,2.18,2.51,250,20.38
Jalandhar,wheat,4,296.6,7.54,0.394,22.0,224.1,grain_filling,123,0.551,35.5,64.5,3.33,6.06,500,18.91
Gurdaspur,paddy,2,233.1,7.36,0.579,16.8,284.1,tillering,32,0.382,48.7,51.3,2.09,2.21,250,28.64
Ludhiana,paddy,1,240.9,8.1,0.421,11.9,160.8,grain_filling,100,0.487,41.9,58.1,0.9,1.25,125,27.42
Sangrur,paddy,5,287.7,7.8,0.374,34.7,181.5,grain_filling,108,0.462,33.1,66.9,3.56,7.2,625,27.83
Moga,wheat,3,294.2,7.46,0.287,16.6,127.8,grain_filling,124,0.61,44.7,55.3,3.15,3.89,375,19.32
Kapurthala,paddy,2,268.2,7.81,0.3,28.7,127.5,tillering,25,0.479,54.0,46.0,2.32,1.98,250,27.2
Ludhiana,paddy,10,193.6,7.85,0.421,10.2,200.7,panicle_initiation,64,0.554,45.0,55.0,9.67,11.83,1250,27.13
Sangrur,paddy,2,205.8,7.46,0.421,40.7,301.1,grain_filling,109,0.506,38.8,61.2,1.67,2.63,250,26.15
Moga,wheat,7,264.6,7.33,0.467,14.3,134.1,jointing,68,0.542,47.6,52.4,7.81,8.61,875,18.57
Patiala,wheat,4,273.3,6.97,0.504,26.9,162.5,heading,81,0.767,39.2,60.8,3.67,5.71,500,20.49
Amritsar,wheat,5,205.1,7.85,0.298,34.2,153.5,grain_filling,117,0.551,47.4,52.6,5.56,6.17,625,19.54
Sangrur,wheat,12,221.2,7.87,0.371,16.5,310.2,grain_filling,107,0.502,46.7,53.3,13.15,15.0,1500,19.35
Moga,wheat,4,287.7,7.36,0.507,13.8,316.3,grain_filling,126,0.604,33.6,66.4,3.16,6.23,500,22.28
Gurdaspur,paddy,2,299.2,7.59,0.587,12.4,187.0,flowering,71,0.671,33.7,66.3,1.45,2.85,250,29.41
Ludhiana,wheat,3,315.5,7.79,0.498,42.7,237.3,jointing,78,0.545,42.4,57.6,2.99,4.05,375,19.39
Jalandhar,wheat,3,217.8,7.34,0.412,12.5,235.2,jointing,60,0.66,43.7,56.3,3.08,3.96,375,19.48
Ludhiana,wheat,12,307.5,7.01,0.469,14.3,181.5,germination,16,0.174,57.0,43.0,16.04,12.11,1500,18.35
Bathinda,wheat,10,159.5,7.61,0.419,35.5,180.3,grain_filling,118,0.49,55.0,45.0,12.91,10.55,1250,18.55
Gurdaspur,wheat,4,244.9,7.14,0.608,13.0,217.5,tillering,46,0.402,45.7,54.3,4.29,5.1,500,19.87
Ludhiana,paddy,5,259.7,7.91,0.584,22.0,206.7,tillering,18,0.577,38.0,62.0,4.09,6.67,625,28.84
Jalandhar,paddy,3,278.3,7.57,0.296,24.1,254.8,tillering,23,0.522,49.6,50.4,3.2,3.25,375,27.39
Gurdaspur,wheat,3,190.8,7.56,0.48,10.9,196.1,jointing,70,0.617,54.7,45.3,3.85,3.19,375,19.66
Ludhiana,paddy,1,253.5,7.85,0.388,25.6,144.7,flowering,81,0.6,42.9,57.1,0.92,1.23,125,28.17
Amritsar,wheat,4,251.9,7.92,0.469,36.9,315.1,jointing,52,0.706,41.0,59.0,3.85,5.54,500,19.29
Amritsar,wheat,3,264.2,7.92,0.368,26.6,290.9,heading,91,0.617,38.5,61.5,2.71,4.33,375,20.04
Patiala,wheat,4,268.9,7.44,0.572,16.9,162.3,grain_filling,108,0.514,40.2,59.8,3.78,5.61,500,20.2
Patiala,wheat,5,207.1,7.64,0.418,13.2,226.4,tillering,46,0.37,51.8,48.2,6.07,5.66,625,19.6
Moga,paddy,4,178.3,7.62,0.461,43.9,265.5,tillering,27,0.525,54.7,45.3,4.71,3.9,500,26.16
Gurdaspur,paddy,1,243.6,7.48,0.43,28.2,159.5,flowering,81,0.637,45.8,54.2,0.98,1.17,125,27.18
Sangrur,paddy,7,277.7,7.15,0.322,41.3,197.6,seedling,0,0.244,60.8,39.2,9.15,5.91,875,27.65
Kapurthala,paddy,2,161.7,7.66,0.52,27.0,137.1,grain_filling,114,0.481,40.4,59.6,1.74,2.56,250,25.89
Amritsar,wheat,4,164.9,8.2,0.322,16.8,221.0,heading,90,0.612,53.5,46.5,5.02,4.36,500,19.13
Amritsar,wheat,1,205.1,7.94,0.508,22.1,250.8,grain_filling,130,0.523,48.8,51.2,1.14,1.2,125,20.14
Jalandhar,paddy,2,255.9,7.45,0.344,19.3,154.0,flowering,89,0.684,43.5,56.5,1.87,2.43,250,26.78
Kapurthala,wheat,12,195.0,7.41,0.554,29.6,222.9,heading,82,0.603,44.1,55.9,12.42,15.73,1500,18.99
Amritsar,wheat,4,205.2,8.22,0.354,11.2,269.2,germination,14,0.282,58.8,41.2,5.51,3.87,500,19.15
Bathinda,wheat,2,238.3,8.12,0.367,24.1,179.6,heading,86,0.695,42.7,57.3,2.0,2.69,250,19.39
Bathinda,wheat,7,140.7,8.78,0.252,14.6,160.7,grain_filling,104,0.618,53.5,46.5,8.78,7.64,875,18.58
Ludhiana,wheat,3,255.4,8.1,0.436,39.0,146.7,tillering,33,0.439,59.8,40.2,4.21,2.83,375,17.64
Moga,paddy,2,262.1,8.22,0.333,37.9,267.7,grain_filling,119,0.516,51.1,48.9,2.2,2.11,250,27.71
Gurdaspur,wheat,3,208.5,7.59,0.531,39.8,268.2,germination,1,0.263,52.7,47.3,3.71,3.33,375,21.19
Kapurthala,paddy,5,192.3,7.35,0.404,33.2,143.6,panicle_initiation,48,0.665,50.9,49.1,5.47,5.28,625,26.5
Moga,wheat,10,251.8,7.93,0.282,22.9,315.8,jointing,61,0.61,52.9,47.1,12.4,11.06,1250,20.61
Jalandhar,paddy,2,201.3,7.67,0.522,34.1,292.7,tillering,38,0.448,49.1,50.9,2.11,2.19,250,28.34
Sangrur,paddy,2,172.6,8.07,0.464,20.2,213.9,grain_filling,109,0.502,45.8,54.2,1.97,2.33,250,26.42
Jalandhar,paddy,1,188.2,7.11,0.304,23.2,284.1,tillering,25,0.426,51.1,48.9,1.1,1.05,125,26.74
Patiala,wheat,2,187.5,7.95,0.573,36.8,135.8,germination,4,0.153,61.0,39.0,2.86,1.83,250,19.39
Patiala,paddy,10,171.5,7.71,0.663,25.1,227.1,tillering,27,0.44,47.1,52.9,10.13,11.38,1250,28.59
Bathinda,paddy,3,128.0,8.71,0.213,29.2,298.1,grain_filling,114,0.53,64.1,35.9,4.13,2.32,375,28.31
Kapurthala,paddy,3,171.6,7.19,0.426,27.9,171.8,flowering,77,0.617,45.4,54.6,2.93,3.52,375,26.31
Moga,paddy,1,242.5,8.23,0.481,30.0,242.0,panicle_initiation,65,0.708,50.8,49.2,1.09,1.06,125,28.08
Patiala,paddy,7,309.4,7.15,0.538,28.7,201.1,grain_filling,94,0.616,41.5,58.5,6.25,8.8,875,29.27
Gurdaspur,wheat,10,189.5,7.22,0.35,33.4,146.7,jointing,53,0.503,55.8,44.2,13.09,10.37,1250,18.36
Patiala,paddy,3,217.9,7.77,0.433,17.9,220.9,panicle_initiation,52,0.652,46.2,53.8,2.98,3.47,375,28.18
Amritsar,paddy,2,272.2,7.49,0.385,42.4,252.0,flowering,83,0.626,44.9,55.1,1.93,2.37,250,28.29
